省份,市场名称,品种名称,最低价,平均价,最高价,单位,交易日期,更新时间,保存时间,市场ID,品种ID,产地,交易量,品种类型
北京,北京批发市场,白菜,1.2,1.5,1.8,元/公斤,2025-06-25,2025-06-25 11:07:49,2025-06-25 11:07:59,,,,,
北京,北京农贸市场,萝卜,0.8,1.0,1.2,元/公斤,2025-06-25,2025-06-25 11:07:49,2025-06-25 11:07:59,,,,,
天津,天津批发市场,白菜,1.2,1.5,1.8,元/公斤,2025-06-25,2025-06-25 11:07:51,2025-06-25 11:07:59,,,,,
天津,天津农贸市场,萝卜,0.8,1.0,1.2,元/公斤,2025-06-25,2025-06-25 11:07:51,2025-06-25 11:07:59,,,,,
河北,河北批发市场,白菜,1.2,1.5,1.8,元/公斤,2025-06-25,2025-06-25 11:07:53,2025-06-25 11:07:59,,,,,
河北,河北农贸市场,萝卜,0.8,1.0,1.2,元/公斤,2025-06-25,2025-06-25 11:07:53,2025-06-25 11:07:59,,,,,
山西,山西批发市场,白菜,1.2,1.5,1.8,元/公斤,2025-06-25,2025-06-25 11:07:55,2025-06-25 11:07:59,,,,,
山西,山西农贸市场,萝卜,0.8,1.0,1.2,元/公斤,2025-06-25,2025-06-25 11:07:55,2025-06-25 11:07:59,,,,,
内蒙古,内蒙古批发市场,白菜,1.2,1.5,1.8,元/公斤,2025-06-25,2025-06-25 11:07:57,2025-06-25 11:07:59,,,,,
内蒙古,内蒙古农贸市场,萝卜,0.8,1.0,1.2,元/公斤,2025-06-25,2025-06-25 11:07:57,2025-06-25 11:07:59,,,,,
北京市,北京朝阳区大洋路综合市场,玉米,3.6,3.8,4.0,元/公斤,2025-06-25,2025-06-25 13:29:58,2025-06-25 13:30:47,76E4F160BFEA936CE040A8C020017257,9,None,4.07,谷物
北京市,北京朝阳区大洋路综合市场,大白菜,0.8,0.9,1.0,元/公斤,2025-06-25,2025-06-25 13:29:58,2025-06-25 13:30:47,76E4F160BFEA936CE040A8C020017257,77,None,15.42,叶菜类
北京市,北京朝阳区大洋路综合市场,洋白菜,1.2,1.4,1.6,元/公斤,2025-06-25,2025-06-25 13:29:58,2025-06-25 13:30:47,76E4F160BFEA936CE040A8C020017257,1451,None,14.96,叶菜类
北京市,北京朝阳区大洋路综合市场,油菜,1.5,1.75,2.0,元/公斤,2025-06-25,2025-06-25 13:29:58,2025-06-25 13:30:47,76E4F160BFEA936CE040A8C020017257,79,None,13.09,叶菜类
北京市,北京朝阳区大洋路综合市场,生菜,3.0,3.5,4.0,元/公斤,2025-06-25,2025-06-25 13:29:58,2025-06-25 13:30:47,76E4F160BFEA936CE040A8C020017257,81,None,12.59,叶菜类
北京市,北京朝阳区大洋路综合市场,菠菜,4.0,4.8,5.6,元/公斤,2025-06-25,2025-06-25 13:29:58,2025-06-25 13:30:47,76E4F160BFEA936CE040A8C020017257,82,None,6.04,叶菜类
北京市,北京朝阳区大洋路综合市场,香菜,7.0,8.5,10.0,元/公斤,2025-06-25,2025-06-25 13:29:58,2025-06-25 13:30:47,76E4F160BFEA936CE040A8C020017257,86,None,4.17,叶菜类
北京市,北京朝阳区大洋路综合市场,油麦菜,3.0,3.5,4.0,元/公斤,2025-06-25,2025-06-25 13:29:58,2025-06-25 13:30:47,76E4F160BFEA936CE040A8C020017257,87,None,5.92,叶菜类
北京市,北京朝阳区大洋路综合市场,空心菜,7.0,7.5,8.0,元/公斤,2025-06-25,2025-06-25 13:29:58,2025-06-25 13:30:47,76E4F160BFEA936CE040A8C020017257,89,None,4.06,叶菜类
北京市,北京朝阳区大洋路综合市场,韭菜,2.6,3.1,3.6,元/公斤,2025-06-25,2025-06-25 13:29:58,2025-06-25 13:30:47,76E4F160BFEA936CE040A8C020017257,95,None,4.72,叶菜类
北京市,北京朝阳区大洋路综合市场,小葱,5.0,5.5,6.0,元/公斤,2025-06-25,2025-06-25 13:29:58,2025-06-25 13:30:47,76E4F160BFEA936CE040A8C020017257,1454,None,4.07,叶菜类
北京市,北京朝阳区大洋路综合市场,蒜苗,4.0,6.8,9.6,元/公斤,2025-06-25,2025-06-25 13:29:58,2025-06-25 13:30:47,76E4F160BFEA936CE040A8C020017257,97,None,8.79,叶菜类
北京市,北京朝阳区大洋路综合市场,茴香,1.6,2.3,3.0,元/公斤,2025-06-25,2025-06-25 13:29:58,2025-06-25 13:30:47,76E4F160BFEA936CE040A8C020017257,98,None,2.67,叶菜类
北京市,北京朝阳区大洋路综合市场,白萝卜,1.3,1.45,1.6,元/公斤,2025-06-25,2025-06-25 13:29:58,2025-06-25 13:30:47,76E4F160BFEA936CE040A8C020017257,1234,None,7.73,根和根茎类
北京市,北京朝阳区大洋路综合市场,青萝卜,2.0,2.5,3.0,元/公斤,2025-06-25,2025-06-25 13:29:58,2025-06-25 13:30:47,76E4F160BFEA936CE040A8C020017257,1498,None,2.5,根和根茎类
北京市,北京朝阳区大洋路综合市场,胡萝卜,1.8,1.9,2.0,元/公斤,2025-06-25,2025-06-25 13:29:58,2025-06-25 13:30:47,76E4F160BFEA936CE040A8C020017257,100,None,2.35,根和根茎类
北京市,北京朝阳区大洋路综合市场,土豆,1.2,1.6,2.0,元/公斤,2025-06-25,2025-06-25 13:29:58,2025-06-25 13:30:47,76E4F160BFEA936CE040A8C020017257,101,None,25.53,根和根茎类
北京市,北京朝阳区大洋路综合市场,山药,12.0,13.0,14.0,元/公斤,2025-06-25,2025-06-25 13:29:58,2025-06-25 13:30:47,76E4F160BFEA936CE040A8C020017257,102,None,3.14,根和根茎类
北京市,北京朝阳区大洋路综合市场,芋头,7.0,7.5,8.0,元/公斤,2025-06-25,2025-06-25 13:29:58,2025-06-25 13:30:47,76E4F160BFEA936CE040A8C020017257,103,None,1.91,根和根茎类
北京市,北京朝阳区大洋路综合市场,葱头,2.6,2.8,3.0,元/公斤,2025-06-25,2025-06-25 13:29:58,2025-06-25 13:30:47,76E4F160BFEA936CE040A8C020017257,104,None,4.54,根和根茎类
北京市,北京顺鑫石门国际农产品批发市场集团有限公司,面粉,3.0,3.04,3.08,元/公斤,2025-06-25,2025-06-25 13:30:00,2025-06-25 13:30:47,76E4F160BFE9936CE040A8C020017257,2,None,42.12,谷物
